lengths,result
14.0,16.73361512494568
14.1,17.772255283190713
14.2,17.08958504239939
14.299999999999999,16.404307639185813
14.399999999999999,18.50201837476424
14.499999999999998,17.815641117275025
14.599999999999998,17.922089178839446
14.699999999999998,20.620092175484537
14.799999999999997,20.22147527790455
14.899999999999997,20.10151283546005
14.999999999999996,21.736738686678294
15.099999999999996,21.482373529181547
15.199999999999996,20.327063367794068
15.299999999999995,20.193422659392052
15.399999999999995,19.352533119047262
15.499999999999995,18.664868803646325
15.599999999999994,18.36009017089684
15.699999999999994,16.617430063901928
15.799999999999994,16.01605650683453
15.899999999999993,16.29998550195276
15.999999999999993,14.950762423341333
16.099999999999994,14.1583333579052
16.199999999999992,14.408599984799476
16.29999999999999,14.169105786149592
16.39999999999999,13.51861449709669
16.499999999999993,13.35007114408867
16.59999999999999,13.319561013635653
16.69999999999999,13.302927673872144
16.79999999999999,12.819828617757135
16.89999999999999,12.4638157990798
16.99999999999999,12.412991112044573
17.099999999999987,11.898738053980102
17.19999999999999,11.720729420875692
17.29999999999999,11.760543475721828
17.399999999999988,11.288106975803288
17.499999999999986,11.530467937354338
17.599999999999987,11.753176208961344
17.69999999999999,11.59305936088218
17.799999999999986,12.245217290675502
17.899999999999984,12.250219570744601
17.999999999999986,12.096345031115812
18.099999999999987,12.903445495223036
18.199999999999985,12.615421615745028
18.299999999999983,12.169897949786879
18.399999999999984,12.536464216771847
18.499999999999986,12.226966992931075
18.599999999999984,12.085430120256014
18.69999999999998,12.269436224092376
18.799999999999983,12.182331180295666
18.899999999999984,12.587705735158753
18.999999999999982,12.701944193086767
19.09999999999998,13.020675628554265
19.19999999999998,13.907250371035659
19.299999999999983,13.666296248587537
19.39999999999998,14.198105551684217
19.49999999999998,15.55587430653371
19.59999999999998,14.669844656865669
19.69999999999998,15.00543273646715
19.79999999999998,16.85325240548064
19.899999999999977,15.340685088838285
