wavelength,result
1.5,1.0955016928720087
1.505,1.0729759398942655
1.5099999999999998,1.0308446890109684
1.5149999999999997,0.9798612146579382
1.5199999999999996,0.9295924892688378
1.5249999999999995,0.8856178221222113
1.5299999999999994,0.8507296874234496
1.5349999999999993,0.8269957327355972
1.5399999999999991,0.8172899716591998
1.544999999999999,0.8254335411856394
1.549999999999999,0.8537115320535014
1.5549999999999988,0.898914896179934
1.5599999999999987,0.9523538181010416
1.5649999999999986,1.0051019796861937
1.5699999999999985,1.052233250503834
1.5749999999999984,1.0928137201794865
1.5799999999999983,1.127804269310832
1.5849999999999982,1.1583093001473719
1.589999999999998,1.184861112209368
1.594999999999998,1.2075878211218662
1.5999999999999979,1.227160598610868
