length,result
1.0,0.08309062031444478
2.0,0.05891459489416099
3.0,0.033619157407392665
4.0,0.02095691708171749
5.0,0.013304245699619738
6.0,0.00949342501072286
7.0,0.006097199150580388
8.0,0.004138337889780529
9.0,0.002897933215987797
10.0,0.0020960521863138113
11.0,0.0016642700436864666
12.0,0.001515622590538958
13.0,0.0015591922078897968
14.0,0.001738889017427217
15.0,0.0020865797264333725
16.0,0.002496681005928715
17.0,0.0030338584989208443
18.0,0.0036048413854334904
19.0,0.004187995106257381
20.0,0.0048121611678057525
21.0,0.005173200704934931
22.0,0.0053861760863088345
23.0,0.00521079438642364
24.0,0.004770245741751431
25.0,0.004289716913215683
26.0,0.0038003919132433505
27.0,0.0034477304187773877
28.0,0.0032597417677479885
29.0,0.003099267370601458
30.0,0.002959508898192571
31.0,0.002793570205937084
32.0,0.00260112996219084
33.0,0.002489777915344208
34.0,0.0023461195325831558
35.0,0.002200969144606879
36.0,0.002094626343466417
37.0,0.0019732166056134915
38.0,0.0018708180187189483
39.0,0.0017775451502217475
40.0,0.0016866038003550625
41.0,0.0016114120990299943
42.0,0.0015399495958524423
43.0,0.0014766067375634082
44.0,0.0014241318055596285
45.0,0.0013752481718149953
46.0,0.001335579901540333
47.0,0.0013034153521482884
48.0,0.0012757362411246087
49.0,0.00125558915147821
