length_um,cell_range,excess_loss_db,insertion_loss_upper_db,insertion_loss_lower_db,power_imbalance_db,phase_error_deg,return_loss_db,forward_power,reflected_power,even_amplitude_abs,odd_amplitude_abs,even_power,odd_power,even_phase_deg,odd_phase_deg,supermode_phase_difference_deg
0.25,0,3.3117152764347066,7.22166557688341,5.577127406221937,-1.6445381706614741,75.5596287476934,28.773078289753148,0.4664751063203484,0.0013264539307026987,0.6746241691119601,0.10657080636997159,0.45511776955000255,0.011357336770345975,176.08910039566746,-56.538726956628494,127.37217264770406
0.375,0,3.3154397918607925,7.220009337312224,5.5845403629390145,-1.635468974373209,75.53785211496806,28.798237046868202,0.46607522812270996,0.0013187919736809398,0.6743508781911908,0.10642425102146516,0.4547491069172302,0.011326121205479829,-134.35259006272562,-7.175647812256929,127.1769422504687
0.5,0,3.318768844869699,7.217724120268141,5.59172615244552,-1.625997967822621,75.52202033435357,28.823055729747153,0.4657180984152468,0.001311276949701296,0.6741140021750592,0.10624693165814783,0.45442968792847577,0.011288410486771136,-84.79232678588538,42.19316318394669,126.98548996983207
0.625,0,3.3216726792430826,7.21487385436868,5.598591521182056,-1.616282333186624,75.51267715664964,28.84739815563598,0.465406808205298,0.0013039477354162992,0.6739156595290542,0.10604004925884357,0.4541623161584801,0.01124449204681797,-35.23048662698326,91.57086521383647,126.80135184081973
0.75,0,3.324126636657824,7.211534522238327,5.605042960965855,-1.60649156127247,75.510205199878,28.87113919199948,0.46514390689506846,0.001296839054261339,0.6737574223182802,0.10580568399710474,0.45394906412897335,0.011194842766095187,14.332535454967799,140.96055779566024,126.62802234069244
0.875,0,3.3261114889279946,7.2077922801738135,5.610988491688441,-1.596803788485373,75.51481490737498,28.894166486741387,0.4649313711535549,0.0012899811118585263,0.6736402965383494,0.10554677651771066,0.45379124912027535,0.011140122033279558,63.896332335937025,-169.63477997029509,126.46888769376793
1.0,0,3.3276136935664025,7.203741398736806,5.616339485618588,-1.5874019131182182,75.52653715153977,28.91638182451523,0.4647705813404621,0.0012833993575334394,0.6735647111858198,0.10526709450547779,0.4536894201548369,0.011081161185625193,113.46049085053306,-120.21235173474264,126.32715741472431
1.125,0,3.328625568256529,7.199482073913411,5.621012496577141,-1.5784695773362711,75.54521967068902,28.9377020446306,0.4646623057751973,0.0012771143816510497,0.6735305162182301,0.10497118413165499,0.45364335627719554,0.011018949498001815,163.0245979897296,-70.76960748207308,126.20579452819733
1.25,0,3.329145381283377,7.1951181593987386,5.62493105478466,-1.5701871046140798,75.57052743200566,28.95805947942013,0.46460669303423713,0.0012711419517320573,0.6735369893922274,0.10466430602020818,0.45365207607954544,0.010954616954691786,-147.41175293761677,-21.304307754325325,126.10744518329145
1.375,0,3.3291773565050375,7.1907548699136115,5.628027386698359,-1.5627274832152527,75.60194691724283,28.977401899514685,0.464603272348982,0.0012654931830572685,0.6735828518075674,0.10435235550655683,0.4537138582492153,0.010889414099766822,-97.84895628843769,28.185412441224226,126.0343687296619
