wavelength,result
1.5,0.1934108973096907
1.505,0.18269606436726482
1.5099999999999998,0.17042361099649728
1.5149999999999997,0.15721895852858905
1.5199999999999996,0.14398919230108498
1.5249999999999995,0.13158445961019127
1.5299999999999994,0.12063134781875245
1.5349999999999993,0.11147392515244978
1.5399999999999991,0.10415078528558508
1.544999999999999,0.09839994998392945
1.549999999999999,0.09373110451037418
1.5549999999999988,0.08958137033110629
1.5599999999999987,0.08549408568932443
1.5649999999999986,0.08122571242461206
1.5699999999999985,0.07674428038183015
1.5749999999999984,0.07216099893175477
1.5799999999999983,0.0676555220927721
1.5849999999999982,0.0634253602514497
1.589999999999998,0.05965837594852869
1.594999999999998,0.05651512992272274
1.5999999999999979,0.054111295527632906
