wavelength,result
1.5,0.1143309799396111
1.505,0.10395784561894654
1.5099999999999998,0.09418089105104639
1.5149999999999997,0.08552466802247466
1.5199999999999996,0.0783152430217375
1.5249999999999995,0.07265171879657124
1.5299999999999994,0.06839624595713449
1.5349999999999993,0.0652197766531168
1.5399999999999991,0.06271657287690724
1.544999999999999,0.06053534612793386
1.549999999999999,0.05845681001243158
1.5549999999999988,0.05639891829395441
1.5599999999999987,0.05438230207910141
1.5649999999999986,0.05249295254487582
1.5699999999999985,0.05085656842837515
1.5749999999999984,0.04962002564625086
1.5799999999999983,0.04893049798413696
1.5849999999999982,0.048908991701194164
1.589999999999998,0.049624841486391943
1.594999999999998,0.051082064636732975
1.5999999999999979,0.053223348748190416
