length_um,excess_loss_db,insertion_loss_upper_db,insertion_loss_lower_db,power_imbalance_db,phase_error_deg,return_loss_db,forward_power,reflected_power,even_amplitude_abs,odd_amplitude_abs,even_power,odd_power,even_phase_deg,odd_phase_deg,supermode_phase_difference_deg,length_over_lpi
50.0,1.6316657633586793,2.908672774417445,7.570445266367422,4.661772491949977,12.15845757699543,36.87045892718009,0.6868049611953081,0.00020556733576207912,0.5295037121520216,0.6375192389352161,0.28037418118277097,0.4064307800125372,41.560669160489724,101.62897700308834,60.06830784259861,0.5
52.5,1.906681497862566,2.480824104300069,10.978236011124158,8.49741190682409,6.097345049725797,39.56889408873295,0.6446616719572243,0.00011043598043315938,0.5475177789734927,0.5872699155117329,0.29977571829206645,0.3448859536651579,-27.49499001238087,13.551409957871316,41.04639997025218,0.525
55.00000000000001,2.429068511550744,2.6892302782232864,14.78390842780584,12.094678149582554,13.391544746881035,37.72825921098187,0.5716012223511173,0.0001687229184445158,0.5628331966951713,0.5047970038035211,0.31678120730210535,0.2548200150490121,-101.80552592331512,-74.54677637239458,27.258749550920545,0.55
57.49999999999999,3.403639990807118,3.5693230461805476,17.671280319972297,14.10195727379175,50.38836173006972,35.788214050729756,0.4567052467440999,0.00026374157473707955,0.5432654213643626,0.4019551326875941,0.2951373180501985,0.16156792869390138,-174.71801060266841,-160.05618423629124,14.661826366377172,0.575
60.0,4.074322016997005,4.428700839189336,15.133472134626212,10.704771295436874,87.38617375143671,34.33634117978321,0.39135221688342126,0.000368439243590361,0.5483945318087848,0.3010243418158152,0.3007365625177763,0.09061565436564475,117.12043363992338,118.78531695928297,1.6648833193595858,0.6
62.5,3.598819147757481,4.541837262303769,10.69444243979504,6.152605177491271,85.42143897679838,31.04588443827932,0.436634537589748,0.0007859801104393519,0.625156587417552,0.21404153521732353,0.3908207587915593,0.045813778798188744,46.26485500494296,40.33914572456568,-5.925709280377284,0.625
65.0,2.9298291698534222,4.676443655617383,7.729779925518519,3.053336269901137,86.6128140697003,27.805249266790465,0.5093509060293773,0.0016575821958630414,0.7028286891158634,0.12402717357520682,0.49396816624432294,0.015382739785054481,-33.194515442251436,-23.84394609801809,9.350569344233348,0.65
67.5,3.149548400390572,5.597191191520315,6.806406064886087,1.2092148733657728,75.34543492897006,27.389215461460505,0.4842227166973926,0.0018242252127746515,0.6885454476020463,0.10063738512049339,0.4740948334135023,0.010127883283890504,-115.359001504595,-54.26033695286535,61.09866455172964,0.675
70.0,3.973104017803657,6.927700028645933,7.039831689518657,0.11213166087272271,59.11150712913678,26.70270301823939,0.4005803099200954,0.00213663185097796,0.6100478998665101,0.16858786963644842,0.37215844013153954,0.02842186978855613,167.7763352533758,-103.66421215290008,88.55945259372413,0.7
72.5,4.18205418494802,7.033028575530425,7.35774806679583,0.32471949126540645,40.953155729112545,29.54646286554905,0.381763656376256,0.0011100785565543137,0.5620554892470959,0.2566267394163432,0.31590637299279234,0.06585728338346371,97.52864405914538,-175.30584687870584,87.1655090621488,0.725
