lengths,result
3.0,6.303471942664467
3.05,5.595342563486367
3.0999999999999996,5.86631113512027
3.1499999999999995,6.7922848689286885
3.1999999999999993,7.525647555101936
3.249999999999999,6.9884573085278525
3.299999999999999,5.92740628989199
3.3499999999999988,5.517065224211656
3.3999999999999986,5.85663004458696
3.4499999999999984,6.638044617624547
3.4999999999999982,7.138842089583268
3.549999999999998,6.7122708907550095
3.599999999999998,6.053426269946892
3.6499999999999977,5.764938516866829
3.6999999999999975,5.873056019112087
3.7499999999999973,6.1819946169786375
3.799999999999997,6.186769116236888
3.849999999999997,5.7926045483360475
3.899999999999997,5.460023279156269
3.9499999999999966,5.22824437050748
3.9999999999999964,5.051319329589329
4.049999999999996,4.8506545361864895
4.099999999999996,4.445908655464905
4.149999999999996,4.092908757854415
4.199999999999996,3.9594244204729585
4.249999999999996,3.839308858301525
4.299999999999995,3.5928763980063345
4.349999999999995,3.1805137931667926
4.399999999999995,2.7308860365500722
4.449999999999995,2.5175933228486973
4.499999999999995,2.483637324009022
4.5499999999999945,2.418561324416287
4.599999999999994,2.1810743341694367
4.649999999999994,1.7974975254145698
4.699999999999994,1.5238587980261886
4.749999999999994,1.45277974217626
4.799999999999994,1.4539082785552297
4.849999999999993,1.390756531560038
4.899999999999993,1.195624594873628
4.949999999999993,0.9907911051880469
4.999999999999993,0.93564015005773
5.049999999999993,0.9665924044895441
5.0999999999999925,0.9838744806664912
5.149999999999992,0.9327428658044239
5.199999999999992,0.8537115320535066
5.249999999999992,0.8756268490857572
5.299999999999992,0.972802689793696
5.349999999999992,1.0541385692040885
5.3999999999999915,1.0861416074368249
5.449999999999991,1.0965729564616038
5.499999999999991,1.1899486650383717
5.549999999999991,1.3564654040163329
5.599999999999991,1.4739481394251954
5.649999999999991,1.5179981901944348
5.69999999999999,1.5332284489836878
5.74999999999999,1.631218704808658
5.79999999999999,1.8628163081486824
5.84999999999999,2.029328970340784
5.89999999999999,2.0301204462481905
5.9499999999999895,1.9466427879990063
5.999999999999989,1.912744690431989
6.049999999999989,2.0703748701939624
6.099999999999989,2.3425550525649412
6.149999999999989,2.450600164190433
6.199999999999989,2.330221914677991
6.2499999999999885,2.1649087833221055
6.299999999999988,2.161158840407368
6.349999999999988,2.3706020622366606
6.399999999999988,2.643506039647074
6.449999999999988,2.7635469733661377
6.499999999999988,2.6680833674017372
6.549999999999987,2.5891695420822374
6.599999999999987,2.7094769691469094
6.649999999999987,2.941578016821949
6.699999999999987,3.225799795523465
6.749999999999987,3.4592320784881276
6.7999999999999865,3.5695723683178744
6.849999999999986,3.7190458645607065
6.899999999999986,3.899230144564601
6.949999999999986,4.035664411858843
6.999999999999986,4.293834948844064
7.049999999999986,4.690154447609523
7.099999999999985,5.1648299529319175
7.149999999999985,5.594168701384026
7.199999999999985,5.631858513761215
7.249999999999985,5.473100609991577
7.299999999999985,5.538690161935458
7.3499999999999845,5.98580950328526
7.399999999999984,6.809544011390999
7.449999999999984,7.433583206083767
7.499999999999984,7.14127716890561
7.549999999999984,6.472046522843263
7.599999999999984,6.087329064343379
7.6499999999999835,6.304881262706491
7.699999999999983,7.120640378911678
7.749999999999983,7.662464123009983
7.799999999999983,7.125151416239209
7.849999999999983,6.107319801336757
7.899999999999983,5.415772147705704
7.949999999999982,5.481275808546306
