wavelength,result
1.5,13.490595906949817
1.505,13.154155098065354
1.5099999999999998,13.053893524208561
1.5149999999999997,12.584703681723825
1.5199999999999996,12.575061082786394
1.5249999999999995,12.244259817544268
1.5299999999999994,11.793828845857977
1.5349999999999993,11.734418899046911
1.5399999999999991,11.73674526675946
1.544999999999999,11.431626602351566
1.549999999999999,11.288106975803188
1.5549999999999988,11.680082676851685
1.5599999999999987,11.908518739453589
1.5649999999999986,11.562580336764563
1.5699999999999985,11.755799621016404
1.5749999999999984,12.608688377819622
1.5799999999999983,12.152992365183174
1.5849999999999982,11.966550303123215
1.589999999999998,12.531788627467266
1.594999999999998,12.566634062229063
1.5999999999999979,12.032337197673503
